 A	EY
 BLOTCHES	B L AA T CH AH Z
 BLOTTED	B L AA T AH D
 BLOTTING	B L AA T IH NG
 BLOW	B L OW
 BLOWING	B L OW IH NG
 BLOWN	B L OW N
 BLOWS	B L OW Z
 BLUE	B L UW
 BLUFF	B L AH F
 BLUNDERED	B L AH N D ER D
 BLUNDERING	B L AH N D ER IH NG
 BLUNDERS	B L AH N D ER Z
 BLUNT	B L AH N T
 BLUR	B L ER
 BLURS	B L ER Z
 BLUSH	B L AH SH
 BLUSHING	B L AH SH IH NG
 BLUSTER	B L AH S T ER
 BOA	B OW AH
 BOARD	B AO R D
 BOARDING	B AO R D IH NG
 BOARDS	B AO R D Z
 BOASTING	B OW S T IH NG
 BOAT	B OW T
 BOATING	B OW T IH NG
 BOATLOAD	B OW T L OW D
 BOATMAN	B OW T M AH N
 BOATS	B OW T S
 BOBBING	B AA B IH NG
 BODES	B OW D Z
 BODIES	B AA D IY Z
 BODY	B AA D IY
 BOHEMIA	B OW HH IY M IY AH
 BOHEMIAN	B OW HH IY M IY AH N
 BOILERS	B OY L ER Z
 BOILING	B OY L IH NG
 BOISTEROUS	B OY S T ER AH S
 BOLD	B OW L D
 BOLDLY	B OW L D L IY
 BOLTED	B OW L T AH D
 BOND	B AA N D
 BONE	B OW N
 BONES	B OW N Z
 BONNET	B AA N AH T
 BONNIEST	B AA N IY AH S T
 BONNY	B AA N IY
 BOOING	B UW IH NG
 BOOK	B UH K
 BOOKS	B UH K S
 BOOMED	B UW M D
 BOONE	B UW N
 BOOT	B UW T
 BOOTED	B UW T IH D
 BOOTS	B UW T S
 BORDEAUX	B AO R D OW
 BORDER	B AO R D ER
 BORDERED	B AO R D ER D
 BORDERS	B AO R D ER Z
 BORE	B AO R
 BORED	B AO R D
 BORN	B AO R N
 BORNE	B AO R N
 BORROW	B AA R OW
 BORROWED	B AA R OW D
 BOSCOMBE	B AA S AH M
 BOSOM	B UH Z AH M
 BOTANY	B AA T AH N IY
 BOTH	B OW TH
 BOTTLES	B AA T AH L Z
 BOTTOM	B AA T AH M
 BOUGHT	B AA T
 BOUND	B AW N D
 BOUNDARY	B AW N D ER IY
 BOUNDED	B AW N D AH D
 BOUNDS	B AW N D Z
 BOUQUET	B UW K EY
 BOW	B AW
 BOWED	B AW D
 BOWING	B OW IH NG
 BOWLED	B OW L D
 BOWLS	B OW L Z
 BOWS	B AW Z
 BOX	B AA K S
 BOXED	B AA K S T
 BOXER	B AA K S ER
 BOXES	B AA K S AH Z
 BOY	B OY
 BOYISH	B OY IH SH
 BOYS	B OY Z
 BRACE	B R EY S
 BRACED	B R EY S T
 BRADSHAW	B R AE D SH AO
 BRADSTREET	B R AE D S T R IY T
 BRAIN	B R EY N
 BRAINS	B R EY N Z
 BRAMBLE	B R AE M B AH L
 BRAMBLES	B R AE M B AH L Z
 BRANCH	B R AE N CH
 BRANCHES	B R AE N CH AH Z
 BRANDED	B R AE N D IH D
 BRANDY	B R AE N D IY
 BRASS	B R AE S
 BRAVE	B R EY V
 BRAVED	B R EY V D
 BRAVING	B R EY V IH NG
 BRAWLS	B R AO L Z
 BRAZEN	B R EY Z AH N
 BRAZIER	B R EY Z IY ER
 BREACH	B R IY CH
 BREACHES	B R IY CH IH Z
 BREAD	B R EH D
 BREADTH	B R EH D TH
 BREAK	B R EY K
 BREAKDOWN	B R EY K D AW N
 BREAKFAST	B R EH K F AH S T
 BREAKFASTS	B R EH K F AH S T S
 BREAKING	B R EY K IH NG
 BREAST	B R EH S T
 BREATH	B R EH TH
 BREATHE	B R IY DH
 BREATHED	B R IY DH D
 BREATHES	B R IY DH Z
 BREATHING	B R IY DH IH NG
 BREATHLESSLY	B R EH TH L AH S L IY
 BRECKINRIDGE	B R EH K IH N R AH JH
 BRED	B R EH D
 BREEZE	B R IY Z
 BREVITY	B R EH V AH T IY
 BREWER	B R UW ER
 BREWING	B R UW IH NG
 BRIAR	B R AY ER
 BRICKISH	B R IH K IH SH
 BRICKS	B R IH K S
 BRIDAL	B R AY D AH L
 BRIDE	B R AY D
 BRIDEGROOM	B R AY D G R UW M
 BRIDGE	B R IH JH
 BRIDGES	B R IH JH AH Z
 BRIEF	B R IY F
 BRIEFLY	B R IY F L IY
 BRIGADIER	B R IH G AH D IH R
 BRIGHT	B R AY T
 BRIGHTENED	B R AY T AH N D
 BRIGHTENING	B R AY T AH N IH NG
 BRIGHTER	B R AY T ER
 BRIGHTEST	B R AY T AH S T
 BRIGHTLY	B R AY T L IY
 BRIGHTNESS	B R AY T N AH S
 BRILLIANT	B R IH L Y AH N T
 BRILLIANTLY	B R IH L Y AH N T L IY
 BRIM	B R IH M
 BRIMMED	B R IH M D
 BRIMS	B R IH M Z
 BRING	B R IH NG
 BRINGING	B R IH NG IH NG
 BRINGS	B R IH NG Z
 BRISK	B R IH S K
 BRISKLY	B R IH S K L IY
 BRISTOL	B R IH S T AH L
 BRITAIN	B R IH T AH N
 BRITISH	B R IH T IH SH
 BRITTLE	B R IH T AH L
 BRIXTON	B R IH K S T AH N
 BROAD	B R AO D
 BROADCLOTH	B R AO D K L AO TH
 BROADENED	B R AO D AH N D
 BROADENING	B R AO D AH N IH NG
 BROADER	B R AO D ER
 BROADEST	B R AO D IH S T
 BROKE	B R OW K
 BROKEN	B R OW K AH N
 BROKENLY	B R OW K AH N L IY
 BROTHER	B R AH DH ER
 BROUGHT	B R AO T
 BROW	B R AW
 BROWN	B R AW N
 BROWNISH	B R AW N IH SH
 BROWS	B R AW Z
 BRUISE	B R UW Z
 BRUISED	B R UW Z D
 BRUSH	B R AH SH
 BRUSHED	B R AH SH T
 BRUTE	B R UW T
 BRUTES	B R UW T S
 BUBBLING	B AH B AH L IH NG
 BUFFALO	B AH F AH L OW
 BUILDER	B IH L D ER
 BUILDING	B IH L D IH NG
 BUILDINGS	B IH L D IH NG Z
 BUILT	B IH L T
 BULGED	B AH L JH D
 BULK	B AH L K
 BULKY	B AH L K IY
 BULL	B UH L
 BULLET	B UH L AH T
 BULLION	B UH L Y AH N
 BUMPING	B AH M P IH NG
 BUNCH	B AH N CH
 BUNDLE	B AH N D AH L
 BUNDLES	B AH N D AH L Z
 BURDEN	B ER D AH N
 BUREAU	B Y UH R OW
 BURGLAR	B ER G L ER
 BURGLED	B AH R G AH L D
 BURIED	B EH R IY D
 BURLY	B ER L IY
 BURN	B ER N
 BURNED	B ER N D
 BURNING	B ER N IH NG
 BURNISHED	B ER N IH SH T
 BURNT	B ER N T
 BURNWELL	B ER N W EH L
 BURROWING	B ER OW IH NG
 BURST	B ER S T
 BURSTING	B ER S T IH NG
 BUSES	B AH S IH Z
 BUSH	B UH SH
 BUSHES	B UH SH AH Z
 BUSHEY	B UH SH IY
 BUSHY	B UH SH IY
 BUSIED	B IH Z IY D
 BUSIEST	B IH Z IY AH S T
 BUSILY	B IH Z AH L IY
 BUSINESS	B IH Z N AH S
 BUSTLED	B AH S AH L D
 BUSTLING	B AH S AH L IH NG
 BUSY	B IH Z IY
 BUSYBODY	B IH Z IY B AA D IY
 BUT	B AH T
 BUTCHER	B UH CH ER
 BUTLER	B AH T L ER
 BUTT	B AH T
 BUTTONED	B AH T AH N D
 BUTTONING	B AH T AH N IH NG
 BUTTONS	B AH T AH N Z
 BUY	B AY
 BUYING	B AY IH NG
 BUZZ	B AH Z
 BUZZING	B AH Z IH NG
 BY	B AY
 BYE	B AY
 BYFLEET	B AY F L IY T
 BYSTANDERS	B AY S T AE N D ER Z
 C	S IY
 CŒUR	K ER
 CAB	K AE B
 CABLE	K EY B AH L
 CABMAN	K AE B M AE N
 CABMEN	K AE B M EH N
 CABS	K AE B Z
 CADAVEROUS	K AH D AE V ER AH S
 CADDIES	K AE D IY Z
 CÉLÈBRES	K EH L EH B R EH Z
 CAGE	K EY JH
 CAGED	K EY JH D
 CAKE	K EY K
 CAKED	K EY K T
 CAL	K AE L
 CALAMITY	K AH L AE M AH T IY
 CALCULATED	K AE L K Y AH L EY T AH D
 CALCUTTA	K AE L K AH T AH
 CALF	K AE F
 CALHOUN	K AE L HH UW N
 CALIFORNIA	K AE L AH F AO R N Y AH
 CALIFORNIAN	K AE L IH F AO R N Y AH N
 CALL	K AO L
 CALLED	K AO L D
 CALLING	K AO L IH NG
 CALLS	K AO L Z
 CALM	K AA M
 CALMER	K AA M ER
 CALMLY	K AA M L IY
 CALTROPS	K AE L T R AH P S
 CAMBERWELL	K AE M B IY ER W EH L
 CAME	K EY M
 CAMERA	K AE M ER AH
 CAMP	K AE M P
 CAMPAIGN	K AE M P EY N
 CAMPAIGNER	K AE M P EY N ER
 CAN	K AE N
 CANAL	K AH N AE L
 CANARD	K AH N AA R D
 CANDLE	K AE N D AH L
 CANE	K EY N
 CANISTER	K AE N AH S T ER
 CANISTERS	K AE N AH S T ER Z
 CANNON	K AE N AH N
 CANNONADE	K AE N AH N EY D
 CANNOT	K AE N AA T
 CANVAS	K AE N V AH S
 CAP	K AE P
 CAPABLE	K EY P AH B AH L
 CAPACITY	K AH P AE S AH T IY
 CAPITAL	K AE P IH T AH L
 CAPS	K AE P S
 CAPTAIN	K AE P T AH N
 CAPTURE	K AE P CH ER
 CAPTURED	K AE P CH ER D
 CARAFFE	K AE R AH F
 CARBOLIZED	K AA R B AH L AY Z D
 CARBONIC	K AA R B AO N IH K
 CARBUNCLE	K AA R B AH NG K AH L
 CARD	K AA R D
 CARDIGAN	K AA R D IH G AH N
 CARDS	K AA R D Z
 CARE	K EH R
 CARED	K EH R D
 CAREER	K ER IH R
 CAREFUL	K EH R F AH L
 CAREFULLY	K EH R F AH L IY
 CARELESSLY	K EH R L EH S L IY
 CARES	K EH R Z
 CARESS	K ER EH S
 CARESSING	K ER EH S IH NG
 CARGO	K AA R G OW
 CARLO	K AA R L OW
 CARN	K AA R N
 CAROLINAS	K EH R AH L AY N AH Z
 CARPET	K AA R P AH T
 CARPETS	K AA R P AH T S
 CARRÉE	K AE R EH
 CARRIAGE	K AE R IH JH
 CARRIAGES	K AE R IH JH IH Z
 CARRIED	K AE R IY D
 CARRIES	K AE R IY Z
 CARRY	K AE R IY
 CARRYING	K AE R IY IH NG
 CARS	K AA R Z
 CART	K AA R T
 CARTE	K AA R T
 CARTLOADS	K AA R T L OW D Z
 CARTOON	K AA R T UW N
 CARTS	K AA R T S
 CARVED	K AA R V D
 CASCADE	K AE S K EY D
 CASE	K EY S
 CASEFUL	K EY S F AH L
 CASES	K EY S AH Z
 CASH	K AE SH
 CASHIER	K AE SH IH R
 CASKET	K AE S K AH T
 CAST	K AE S T
 CASTING	K AE S T IH NG
 CASTLE	K AE S AH L
 CAT	K AE T
 CATASTROPHE	K AH T AE S T R AH F IY
 CATASTROPHIC	K AE T AH S T R AA F IH K
 CATCH	K AE CH
 CATCHING	K AE CH IH NG
 CATEGORY	K AE T AH G AO R IY
 CATERPILLAR	K AE T AH P IH L ER
 CATHEDRAL	K AH TH IY D R AH L
 CATHERINE	K AE TH ER AH N
 CAUGHT	K AA T
 CAUSE	K AA Z
 CAUSED	K AA Z D
 CAUSES	K AA Z AH Z
 CAUSING	K AA Z IH NG
 CAUTION	K AA SH AH N
 CAUTIOUSLY	K AO SH AH S L IY
 CAVALRY	K AE V AH L R IY
 CAVE	K EY V
 CAVED	K EY V D
 CAVITY	K AE V AH T IY
 CEASE	S IY S
 CEASED	S IY S T
 CEASELESS	S IY S L IH S
 CEASES	S IY S IH Z
 CEDARS	S IY D ER Z
 CEILING	S IY L IH NG
 CELEBRATED	S EH L AH B R EY T IH D
 CELEBRATION	S EH L AH B R EY SH AH N
 CELL	S EH L
 CELLAR	S EH L ER
 CELLARS	S EH L ER Z
 CELLS	S EH L Z
 CENT	S EH N T
 CENTRAL	S EH N T R AH L
 CENTRE	S EH N T ER
 CENTRES	S EH N T ER Z
 CENTURIES	S EH N CH ER IY Z
 CENTURY	S EH N CH ER IY
 CEREMONY	S EH R AH M OW N IY
 CERTAIN	S ER T AH N
 CERTAINLY	S ER T AH N L IY
 CERTAINTY	S ER T AH N T IY
 CHAFF	CH AE F
 CHAFFED	CH AE F T
 CHAFFERING	CH AE F ER IH NG
 CHAGRINED	SH AH G R IH N D
 CHAIN	CH EY N
 CHAINS	CH EY N Z
 CHAIR	CH EH R
 CHAIRMAN	CH EH R M AH N
 CHAIRS	CH EH R Z
 CHAISE	SH EY Z
 CHALK	CH AA K
 CHAMBER	CH EY M B ER
 CHAMBERS	CH EY M B ER Z
 CHANCE	CH AE N S
 CHANCED	CH AE N S T
 CHANCES	CH AE N S AH Z
 CHANGE	CH EY N JH
 CHANGED	CH EY N JH D
 CHANGES	CH EY N JH AH Z
 CHANGING	CH EY N JH IH NG
 CHANNEL	CH AE N AH L
 CHAOS	K EY AA S
 CHAP	CH AE P
 CHAPTER	CH AE P T ER
 CHARACTER	K EH R IH K T ER
 CHARACTERISTIC	K EH R IH K T ER IH S T IH K
 CHARACTERISTICS	K EH R IH K T ER IH S T IH K S
 CHARACTERIZES	K EH R IH K T ER AY Z AH Z
 CHARACTERS	K AE R IH K T ER Z
 CHARCOAL	CH AA R K OW L
 CHARGE	CH AA R JH
 CHARGED	CH AA R JH D
 CHARING	CH AA R IH NG
 CHARIOT	CH EH R IY AH T
 CHARITY	CH EH R IH T IY
 CHARLES	CH AA R L Z
 CHARM	CH AA R M
 CHARMING	CH AA R M IH NG
 CHARRED	CH AA R D
 CHASE	CH EY S
 CHASED	CH EY S T
 CHASING	CH EY S IH NG
 CHAT	CH AE T
 CHATHAM	CH AE T AH M
 CHATTED	CH AE T AH D
 CHATTING	CH AE T IH NG
 CHEAPLY	CH IY P L IY
 CHEATING	CH IY T IH NG
 CHECK	CH EH K
 CHECKMATE	CH EH K M EY T
 CHEEKS	CH IY K S
 CHEER	CH IH R
 CHEERFUL	CH IH R F AH L
 CHEERILY	CH IH ER IY L IY
 CHEERLESS	CH IH ER L AH S
 CHEERY	CH IH R IY
 CHEETAH	CH IY T AH
 CHELMSFORD	CH EH L M S F ER D
 CHEMICAL	K EH M IH K AH L
 CHEMISTRY	K EH M IH S T R IY
 CHERRY	CH EH R IY
 CHERTSEY	CH AH R T S IY
 CHEST	CH EH S T
 CHESTERFIELD	CH EH S T ER F IY L D
 CHESTNUT	CH EH S N AH T
 CHEWING	CH UW IH NG
 CHIEF	CH IY F
 CHIEFLY	CH IY F L IY
 CHIFFON	SH IH F AA N
 CHILD	CH AY L D
 CHILDISH	CH AY L D IH SH
 CHILDREN	CH IH L D R AH N
 CHILL	CH IH L
 CHIMNEY	CH IH M N IY
 CHIMNEYS	CH IH M N IY Z
 CHIN	CH IH N
 CHINA	CH AY N AH
 CHINCHILLA	CH IH N CH IH L AH
 CHINK	CH IH NG K
 CHINS	CH IH N Z
 CHISEL	CH IH Z AH L
 CHIVALROUS	SH IH V AH L R AH S
 CHIVALRY	SH IH V AH L R IY
 CHOBHAM	CH AA B HH AH M
 CHOKED	CH OW K T
 CHOKING	CH OW K IH NG
 CHOOSE	CH UW Z
 CHOOSING	CH UW Z IH NG
 CHORUS	K AO R AH S
 CHOSE	CH OW Z
 CHOSEN	CH OW Z AH N
 CHRISTMAS	K R IH S M AH S
 CHRONIC	K R AA N IH K
 CHRONICLE	K R AA N IH K AH L
 CHRONICLER	K R AA N IH K L ER
 CHRONOMETER	K R OW N AA M AH T AH R
 CHUCKED	CH AH K T
 CHUCKLED	CH AH K AH L D
 CHUCKLING	CH AH K L IH NG
 CHURCH	CH ER CH
 CHURNING	CH ER N IH NG
 CIGAR	S IH G AA R
 CIGARETTE	S IH G AH R EH T
 CIGARETTES	S IH G AH R EH T S
 CIGARS	S IH G AA R Z
 CINDER	S IH N D ER
 CINDERY	S IH N D ER IY
 CIRCLE	S ER K AH L
 CIRCLES	S ER K AH L Z
 CIRCULAR	S ER K Y AH L ER
 CIRCULATION	S ER K Y AH L EY SH AH N
 CIRCUMFERENCE	S ER K AH M F R AH N S
 CIRCUMSPECT	S ER K AH M S P EH K T
 CIRCUMSTANCES	S ER K AH M S T AE N S AH Z
 CIRCUMSTANTIAL	S ER K AH M S T AE N SH AH L
 CITIZEN	S IH T AH Z AH N
 CITIZENS	S IH T AH Z AH N Z
 CITY	S IH T IY
 CIVIL	S IH V AH L
 CIVILIAN	S AH V IH L Y AH N
 CIVILISATION	S IH V AH L IY Z EY SH AH N
 CIVILISED	S IH V AH L IY Z D
 CIVILIZATION	S IH V AH L IH Z EY SH AH N
 CIVILIZED	S IH V AH L AY Z D
 CLAD	K L AE D
 CLAIM	K L EY M
 CLAIR	K L EH R
 CLAMBER	K L AE M B ER
 CLAMBERED	K L AE M B ER D
 CLAMBERING	K L AE M B ER IH NG
 CLAMOUR	K L AE M ER
 CLAMOURING	K L AH M OW Y AH R AH NG
 CLAMPED	K L AE M P T
 CLANG	K L AE NG
 CLANGING	K L AE NG IH NG
 CLANGOROUS	K L AE NG ER AH S
 CLANK	K L AE NG K
 CLANKING	K L AE NG K IH NG
 CLAP	K L AE P
 CLAPPED	K L AE P T
 CLARA	K L AE R AH
 CLARET	K L AE R AH T
 CLARK	K L AA R K
 CLASPED	K L AE S P T
 CLASPING	K L AE S P IH NG
 CLASPINGS	K L AE S P IH NG Z
 CLASS	K L AE S
 CLASSES	K L AE S AH Z
 CLATTER	K L AE T ER
 CLATTERED	K L AE T ER D
 CLATTERING	K L AE T ER IH NG
 CLAWS	K L AO Z
 CLAY	K L EY
 CLEAN	K L IY N
 CLEANED	K L IY N D
 CLEANLY	K L IY N L IY
 CLEAR	K L IH R
 CLEARED	K L IH R D
 CLEARER	K L IH R ER
 CLEARING	K L IH R IH NG
 CLEARLY	K L IH R L IY
 CLEARNESS	K L IH R N AH S
 CLEARS	K L IH R Z
 CLEAVER	K L IY V ER
 CLEFTS	K L EH F T S
 CLENCHED	K L EH N CH T
 CLERGYMAN	K L ER JH IY M AH N
 CLERK	K L ER K
 CLERKS	K L ER K S
 CLEVER	K L EH V ER
 CLEW	K L UW
 CLEWS	K L UW Z
 CLIENT	K L AY AH N T
 CLIENTS	K L AY AH N T S
 CLIMATE	K L AY M AH T
 CLIMAX	K L AY M AE K S
 CLIMBED	K L AY M D
 CLIMBING	K L AY M IH NG
 CLINCHED	K L IH N CH T
 CLINK	K L IH NG K
 CLINKED	K L IH NG K T
 CLINKER	K L IH NG K ER
 CLOAK	K L OW K
 CLOCK	K L AA K
 CLOCKWORK	K L AA K W ER K
 CLOG	K L AA G
 CLOSE	K L OW S
 CLOSED	K L OW Z D
 CLOSELY	K L OW S L IY
 CLOSING	K L OW Z IH NG
 CLOTH	K L AO TH
 CLOTHES	K L OW DH Z
 CLOTHING	K L OW DH IH NG
 CLOUD	K L AW D
 CLOUDED	K L AW D IH D
 CLOUDLESS	K L AW D L AH S
 CLOUDS	K L AW D Z
 CLOUDY	K L AW D IY
 CLUB	K L AH B
 CLUE	K L UW
 CLUMP	K L AH M P
 CLUMSILY	K L AH M S AH L IY
 CLUMSY	K L AH M Z IY
 CLUNG	K L AH NG
 CLUSTER	K L AH S T ER
 CLUTCHED	K L AH CH T
 CLUTCHES	K L AH CH AH Z
 CLUTCHING	K L AH CH IH NG
 CO	K OW
 COARSE	K AO R S
 COARSELY	K OW R S L IY
 COAT	K OW T
 COAXING	K OW K S IH NG
 COBB	K AA B
 COBHAM	K OW B HH AE M
 COBURG	K OW B AH R G
 COBWEBBY	K AA B W EH B IY
 COCAINE	K OW K EY N
 COCK	K AA K
 COCKCHAFER	K AA K CH EY F ER
 COCKED	K AA K T
 COCKING	K AA K IH NG
 COCKROACHES	K AA K R OW CH IH Z
 COCKSURE	K AA K SH UH R
 COCKTAIL	K AA K T EY L
 COFFEE	K AA F IY
 COHERENCY	K OW HH IH ER AH N S IY
 COIL	K OY L
 COILED	K OY L D
 COILING	K OY L IH NG
 COILS	K OY L Z
 COINCIDENCE	K OW IH N S IH D AH N S
 COINCIDENCES	K OW IH N S AH D AH N S IH Z
 COINCIDENT	K OW IH N S AH D AH N T
 COINERS	K OY N ER Z
 COINS	K OY N Z
 COLD	K OW L D
 COLDEST	K OW L D AH S T
 COLDLY	K OW L D L IY
 COLDNESS	K OW L D N AH S
 COLLAPSE	K AH L AE P S
 COLLAPSED	K AH L AE P S T
 COLLAPSES	K AH L AE P S IH Z
 COLLAR	K AA L ER
 COLLEAGUE	K AA L IY G
 COLLECT	K AH L EH K T
 COLLECTED	K AH L EH K T AH D
 COLLECTING	K AH L EH K T IH NG
 COLLECTION	K AH L EH K SH AH N
 COLLEGE	K AA L IH JH
 COLLISION	K AH L IH ZH AH N
 COLONEL	K ER N AH L
 COLONIES	K AA L AH N IY Z
 COLONY	K AA L AH N IY
 COLOR	K AH L ER
 COLORED	K AH L ER D
 COLORLESS	K AH L ER L AH S
 COLOSSAL	K AH L AA S AH L
 COLOSSI	K OW L AA S IY
 COLOSSUS	K AH L AA S AH S
 COLOUR	K AH L ER
 COLOURED	K AH L ER D
 COLUMN	K AA L AH M
 COLUMNS	K AA L AH M Z
 COMBINATION	K AA M B AH N EY SH AH N
 COMBINE	K AA M B AY N
 COMBINED	K AH M B AY N D
 COMBUSTIBLE	K AH M B AH S T AH B AH L
 COME	K AH M
 COMELY	K AH M L IY
 COMER	K AH M ER
 COMERS	K AH M ER Z
 COMES	K AH M Z
 COMFORT	K AH M F ER T
 COMFORTABLE	K AH M F ER T AH B AH L
 COMFORTABLY	K AH M F ER T AH B L IY
 COMFORTED	K AH M F ER T IH D
 COMIC	K AA M IH K
 COMICAL	K AA M IH K AH L
 COMING	K AH M IH NG
 COMMAND	K AH M AE N D
 COMMANDER	K AH M AE N D ER
 COMMANDING	K AH M AE N D IH NG
 COMMANDS	K AH M AE N D Z
 COMMENCE	K AH M EH N S
 COMMENCEMENT	K AH M EH N S M AH N T
 COMMENDED	K AH M EH N D IH D
 COMMENT	K AA M EH N T
 COMMENTING	K AA M EH N T IH NG
 COMMISSION	K AH M IH SH AH N
 COMMISSIONAIRE	K AH M IH SH AH N AH AY ER
 COMMISSIONS	K AH M IH SH AH N Z
 COMMIT	K AH M IH T
 COMMITTED	K AH M IH T IH D
 COMMON	K AA M AH N
 COMMONLY	K AA M AH N L IY
 COMMONPLACE	K AA M AH N P L EY S
 COMMONPLACES	K AA M AH N P L EY S IH Z
 COMMONS	K AA M AH N Z
 COMMUNICATE	K AH M Y UW N AH K EY T
 COMMUNICATED	K AH M Y UW N AH K EY T IH D
 COMMUNICATION	K AH M Y UW N AH K EY SH AH N
 COMMUNITY	K AH M Y UW N AH T IY
 COMMUTING	K AH M Y UW T IH NG
 COMPANIES	K AH M P AH N IY Z
 COMPANION	K AH M P AE N Y AH N
 COMPANIONS	K AH M P AE N Y AH N Z
 COMPANY	K AH M P AH N IY
 COMPARATIVELY	K AH M P AE R AH T IH V L IY
 COMPARE	K AH M P EH R
 COMPARED	K AH M P EH R D
 COMPARING	K AH M P EH R IH NG
 COMPASS	K AH M P AH S
 COMPASSES	K AH M P AH S IH Z
 COMPELLED	K AH M P EH L D
 COMPENSATED	K AA M P AH N S EY T AH D
 COMPETENCE	K AA M P AH T IH N S
 COMPLACENCY	K AH M P L EY S AH N S IY
 COMPLAIN	K AH M P L EY N
 COMPLAINED	K AH M P L EY N D
 COMPLAINING	K AH M P L EY N IH NG
 COMPLAINT	K AH M P L EY N T
 COMPLETE	K AH M P L IY T
 COMPLETED	K AH M P L IY T AH D
 COMPLETELY	K AH M P L IY T L IY
 COMPLEX	K AA M P L EH K S
 COMPLEXION	K AH M P L EH K SH AH N
 COMPLIANCE	K AH M P L AY AH N S
 COMPLICATED	K AA M P L AH K EY T AH D
 COMPLIMENT	K AA M P L AH M EH N T
 COMPLIMENTARY	K AA M P L AH M EH N T ER IY
 COMPLIMENTS	K AA M P L AH M EH N T S
 COMPOSE	K AH M P OW Z
 COMPOSED	K AH M P OW Z D
 COMPOSITION	K AA M P AH Z IH SH AH N
 COMPOSITOR	K AH M P AA Z AH T ER
 COMPREHENSIVE	K AA M P R IY HH EH N S IH V
 COMPRESS	K AA M P R EH S
 COMPRESSED	K AH M P R EH S T
 COMPROMISING	K AA M P R AH M AY Z IH NG
 COMPUNCTION	K AH M P AH NG K SH AH N
 COMRADE	K AA M R AE D
 CONCEAL	K AH N S IY L
 CONCEALED	K AH N S IY L D
 CONCEIT	K AH N S IY T
 CONCEIVABLE	K AH N S IY V AH B AH L
 CONCEIVE	K AH N S IY V
 CONCEIVES	K AH N S IY V Z
 CONCENTRATE	K AA N S AH N T R EY T
 CONCENTRATED	K AA N S AH N T R EY T AH D
 CONCENTRATION	K AA N S AH N T R EY SH AH N
 CONCEPTION	K AH N S EH P SH AH N
 CONCERN	K AH N S ER N
 CONCERNED	K AH N S ER N D
 CONCERNING	K AH N S ER N IH NG
 CONCERNS	K AH N S ER N Z
 CONCERT	K AA N S ER T
 CONCISE	K AH N S AY S
 CONCISELY	K AH N S AY S L IY
 CONCLUDED	K AH N K L UW D AH D
 CONCLUDING	K AH N K L UW D IH NG
 CONCLUSION	K AH N K L UW ZH AH N
 CONCLUSIONS	K AH N K L UW ZH AH N Z
 CONCLUSIVE	K AH N K L UW S IH V
 CONCUSSION	K AH N K AH SH AH N
 CONDEMNED	K AH N D EH M D
 CONDESCEND	K AA N D IH S EH N D
 CONDITION	K AH N D IH SH AH N
 CONDITIONS	K AH N D IH SH AH N Z
 CONDUCT	K AA N D AH K T
 CONDUCTING	K AH N D AH K T IH NG
 CONDUCTIVITY	K AA N D AH K T IH V AH T IY
 CONE	K OW N
 CONFEDERATE	K AH N F EH D ER AH T
 CONFEDERATES	K AH N F EH D ER AH T S
 CONFESS	K AH N F EH S
 CONFESSED	K AH N F EH S T
 CONFESSION	K AH N F EH SH AH N
 CONFIDANT	K AA N F AH D AA N T
 CONFIDE	K AH N F AY D
 CONFIDED	K AH N F AY D IH D
 CONFIDENCE	K AA N F AH D EH N S
 CONFIDENTIAL	K AA N F AH D EH N SH AH L
 CONFINE	K AH N F AY N
 CONFINED	K AH N F AY N D
 CONFINING	K AH N F AY N IH NG
 CONFIRM	K AH N F ER M
 CONFIRMED	K AH N F ER M D
 CONFLAGRATION	K AA N F L AH G R EY SH AH N
 CONFLICT	K AA N F L IH K T
 CONFLICTING	K AH N F L IH K T IH NG
 CONFOUND	K AA N F AW N D
 CONFOUNDED	K AH N F AW N D IH D
 CONFRONTED	K AH N F R AH N T AH D
 CONFUSED	K AH N F Y UW Z D
 CONFUSING	K AH N F Y UW Z IH NG
 CONFUSION	K AH N F Y UW ZH AH N
 CONGENIAL	K AH N JH IY N Y AH L
 CONGESTED	K AH N JH EH S T AH D
 CONGRATULATE	K AH N G R AE CH AH L EY T
 CONICAL	K AA N IH K AH L
 CONJECTURE	K AH N JH EH K CH ER
 CONJECTURED	K AH N JH EH K CH ER D
 CONJUNCTION	K AH N JH AH NG K SH AH N
 CONNECTED	K AH N EH K T IH D
 CONNECTION	K AH N EH K SH AH N
 CONNIVANCE	K AH N AY V AH N S
 CONSCIENCE	K AA N SH AH N S
 CONSCIOUS	K AA N SH AH S
 CONSCIOUSNESS	K AA N SH AH S N AH S
 CONSENTED	K AH N S EH N T IH D
 CONSEQUENCE	K AA N S AH K W AH N S
 CONSEQUENCES	K AA N S AH K W EH N S AH Z
 CONSIDER	K AH N S IH D ER
 CONSIDERABLE	K AH N S IH D ER AH B AH L
 CONSIDERABLY	K AH N S IH D ER AH B L IY
 CONSIDERATION	K AH N S IH D ER EY SH AH N
 CONSIDERATIONS	K AH N S IH D ER EY SH AH N Z
 CONSIDERED	K AH N S IH D ER D
 CONSIDERING	K AH N S IH D ER IH NG
 CONSISTED	K AH N S IH S T AH D
 CONSOLATION	K AA N S AH L EY SH AH N
 CONSOLED	K AH N S OW L D
